Date,Open,High,Low,Close,Volume,Adj Close
2014-07-31,97.16,97.45,95.33,95.6,56843000,86.8129
2014-08-01,94.9,96.62,94.81,96.13,48511000,87.2942
2014-08-04,96.37,96.58,95.17,95.59,39958000,86.8039
2014-08-05,95.36,95.68,94.36,95.12,55933000,86.3771
2014-08-06,94.75,95.48,94.71,94.96,38558000,86.2318
2014-08-07,94.93,95.95,94.1,94.48,46711000,86.2227
2014-08-08,94.26,94.82,93.28,94.74,41865000,86.46
2014-08-11,95.27,96.08,94.8355,95.99,36585000,87.6007
2014-08-12,96.04,96.88,95.61,95.97,33795000,87.5825
2014-08-13,96.15,97.24,96.04,97.24,31916000,88.7415
2014-08-14,97.33,97.57,96.8,97.5,28116000,88.9788
2014-08-15,97.9,98.19,96.86,97.98,48951000,89.4168
2014-08-18,98.49,99.37,97.98,99.16,47572000,90.4937
2014-08-19,99.41,100.68,99.32,100.53,69274700,91.7439
2014-08-20,100.44,101.09,99.95,100.57,52612800,91.7804
2014-08-21,100.57,100.94,100.11,100.58,33421900,91.7896
2014-08-22,100.29,101.47,100.19,101.32,44102400,92.4649
2014-08-25,101.79,102.17,101.28,101.54,40144700,92.6657
2014-08-26,101.42,101.5,100.86,100.889,33119800,92.0716
2014-08-27,101.02,102.57,100.7,102.13,46827400,93.2041
2014-08-28,101.59,102.78,101.56,102.25,68389800,93.3136
2014-08-29,102.86,102.9,102.2,102.5,44567000,93.5418
2014-09-02,103.06,103.74,102.72,103.3,53491400,94.2718
2014-09-03,103.1,103.2,98.58,98.94,125233100,90.2929
2014-09-04,98.85,100.09,97.79,98.12,85594800,89.5446
2014-09-05,98.8,99.39,98.31,98.97,58353200,90.3203
2014-09-08,99.3,99.31,98.05,98.36,46277800,89.7636
2014-09-09,99.08,103.08,96.14,97.99,189560600,89.4259
2014-09-10,98.01,101.11,97.76,101.0,100741900,92.1729
2014-09-11,100.41,101.44,99.62,101.43,62353100,92.5653
2014-09-12,101.21,102.19,101.08,101.66,62626100,92.7752
2014-09-15,102.81,103.05,101.44,101.63,61216500,92.7478
2014-09-16,99.8,101.26,98.89,100.86,66818200,92.0451
2014-09-17,101.27,101.8,100.5922,101.58,60892400,92.7022
2014-09-18,101.93,102.35,101.56,101.79,37023900,92.8938
2014-09-19,102.29,102.35,100.88,100.96,70838500,92.1364
2014-09-22,101.8,102.14,100.58,101.06,52722000,92.2276
2014-09-23,100.6,102.94,100.54,102.64,63347200,93.6695
2014-09-24,102.16,102.85,101.2,101.75,59725174,92.8573
2014-09-25,100.51,100.71,97.72,97.87,99565849,89.3164
2014-09-26,98.53,100.75,98.4,100.75,62370501,91.9447
2014-09-29,98.65,100.435,98.63,100.11,49766312,91.3606
2014-09-30,100.81,101.54,100.53,100.75,55264139,91.9447
2014-10-01,100.59,100.69,98.7,99.18,51491286,90.5119
2014-10-02,99.27,100.22,98.04,99.9,47757828,91.169
2014-10-03,99.44,100.21,99.04,99.62,43469585,90.9135
2014-10-06,99.95,100.65,99.42,99.62,37051182,90.9135
2014-10-07,99.43,100.12,98.73,98.75,42094183,90.1195
2014-10-08,98.76,101.11,98.31,100.8,57404674,91.9903
2014-10-09,101.54,102.38,100.61,101.02,77376525,92.1911
2014-10-10,100.69,102.03,100.3,100.73,66331592,91.9265
2014-10-13,101.33,101.78,99.81,99.81,53583368,91.0869
2014-10-14,100.39,100.52,98.57,98.75,63688562,90.1195
2014-10-15,97.97,99.15,95.18,97.54,100933600,89.0153
2014-10-16,95.55,97.72,95.41,96.26,72154523,87.8471
2014-10-17,97.5,99.0,96.81,97.67,68179688,89.1339
2014-10-20,98.315,99.96,98.22,99.76,77517279,91.0412
2014-10-21,103.02,103.02,101.27,102.47,94623904,93.5144
2014-10-22,102.84,104.11,102.6,102.99,68263146,93.9889
2014-10-23,104.08,105.051,103.63,104.83,71074674,95.6681
2014-10-24,105.18,105.49,104.53,105.22,47053916,96.024
2014-10-27,104.85,105.48,104.7,105.11,34187701,95.9237
2014-10-28,105.4,106.74,105.35,106.74,48060949,97.4112
2014-10-29,106.65,107.37,106.36,107.34,52687879,97.9588
2014-10-30,106.959,107.35,105.9,106.98,40654793,97.6302
2014-10-31,108.01,108.04,107.21,108.0,44639285,98.5611
2014-11-03,108.22,110.3,108.01,109.4,52282550,99.8387
2014-11-04,109.36,109.49,107.72,108.6,41574365,99.1086
2014-11-05,109.1,109.3,108.125,108.86,37435905,99.3459
2014-11-06,108.6,108.79,107.8,108.7,34968457,99.6288
2014-11-07,108.75,109.32,108.55,109.01,33691535,99.913
2014-11-10,109.02,109.33,108.67,108.83,27195547,99.748
2014-11-11,108.7,109.75,108.4,109.7,27442252,100.5454
2014-11-12,109.38,111.43,109.37,111.25,46942431,101.966
2014-11-13,111.8,113.45,111.6,112.82,59522855,103.405
2014-11-14,113.15,114.19,113.05,114.18,44063595,104.6515
2014-11-17,114.27,117.28,113.3,113.99,46746712,104.4774
2014-11-18,113.94,115.69,113.89,115.47,44223978,105.8339
2014-11-19,115.44,115.74,113.8,114.67,41869160,105.1006
2014-11-20,114.91,116.86,114.85,116.31,43395537,106.6038
2014-11-21,117.51,117.57,116.03,116.47,57179298,106.7504
2014-11-24,116.85,118.77,116.62,118.625,47450824,108.7256
2014-11-25,119.07,119.75,117.45,117.6,68840440,107.7861
2014-11-26,117.94,119.1,117.83,119.0,40831886,109.0693
2014-11-28,119.27,119.4,118.05,118.93,24814402,109.0051
2014-12-01,118.81,119.25,111.27,115.07,83814037,105.4672
2014-12-02,113.5,115.75,112.75,114.63,59348940,105.064
2014-12-03,115.75,116.35,115.11,115.93,43063440,106.2555
2014-12-04,115.77,117.2,115.29,115.49,42155776,105.8522
2014-12-05,115.99,116.08,114.64,115.0,38318895,105.4031
2014-12-08,114.1,114.648,111.62,112.4,57664850,103.0201
2014-12-09,110.19,114.3,109.35,114.12,60208036,104.5965
2014-12-10,114.41,114.85,111.54,111.95,44565318,102.6076
