Date,Open,High,Low,Close,Volume,Adj Close
2000-06-09,0.5852,0.5852,0.5852,0.5852,0,0.5852
2000-06-12,0.5909,0.5909,0.5909,0.5909,0,0.5909
2000-06-13,0.5978,0.5978,0.5978,0.5978,0,0.5978
2000-06-14,0.6013,0.6013,0.6013,0.6013,0,0.6013
2000-06-15,0.6014,0.6014,0.6014,0.6014,0,0.6014
2000-06-16,0.6077,0.6077,0.6077,0.6077,0,0.6077
2000-06-19,0.6015,0.6015,0.6015,0.6015,0,0.6015
2000-06-20,0.6021,0.6021,0.6021,0.6021,0,0.6021
2000-06-21,0.6021,0.6021,0.6021,0.6021,0,0.6021
2000-06-22,0.601,0.601,0.601,0.601,0,0.601
2000-06-23,0.5964,0.5964,0.5964,0.5964,0,0.5964
2000-06-26,0.5971,0.5971,0.5971,0.5971,0,0.5971
2000-06-27,0.5998,0.5998,0.5998,0.5998,0,0.5998
2000-06-28,0.6012,0.6012,0.6012,0.6012,0,0.6012
2000-06-29,0.6033,0.6033,0.6033,0.6033,0,0.6033
2000-06-30,0.6002,0.6002,0.6002,0.6002,0,0.6002
2000-07-03,0.5985,0.5985,0.5985,0.5985,0,0.5985
2000-07-04,0.5982,0.5982,0.5982,0.5982,0,0.5982
2000-07-05,0.5902,0.5902,0.5902,0.5902,0,0.5902
2000-07-06,0.5915,0.5915,0.5915,0.5915,0,0.5915
2000-07-07,0.5888,0.5888,0.5888,0.5888,0,0.5888
2000-07-10,0.5933,0.5933,0.5933,0.5933,0,0.5933
2000-07-11,0.5895,0.5895,0.5895,0.5895,0,0.5895
2000-07-12,0.5903,0.5903,0.5903,0.5903,0,0.5903
2000-07-13,0.5846,0.5846,0.5846,0.5846,0,0.5846
2000-07-14,0.5847,0.5847,0.5847,0.5847,0,0.5847
2000-07-17,0.5845,0.5845,0.5845,0.5845,0,0.5845
2000-07-18,0.5845,0.5845,0.5845,0.5845,0,0.5845
2000-07-19,0.577,0.577,0.577,0.577,0,0.577
2000-07-20,0.5805,0.5805,0.5805,0.5805,0,0.5805
2000-07-21,0.586,0.586,0.586,0.586,0,0.586
2000-07-24,0.5863,0.5863,0.5863,0.5863,0,0.5863
2000-07-25,0.5842,0.5842,0.5842,0.5842,0,0.5842
2000-07-26,0.5911,0.5911,0.5911,0.5911,0,0.5911
2000-07-27,0.589,0.589,0.589,0.589,0,0.589
2000-07-28,0.5873,0.5873,0.5873,0.5873,0,0.5873
2000-07-31,0.5788,0.5788,0.5788,0.5788,0,0.5788
2000-08-01,0.5808,0.5808,0.5808,0.5808,0,0.5808
2000-08-02,0.5826,0.5826,0.5826,0.5826,0,0.5826
2000-08-03,0.5842,0.5842,0.5842,0.5842,0,0.5842
2000-08-04,0.5852,0.5852,0.5852,0.5852,0,0.5852
2000-08-07,0.586,0.586,0.586,0.586,0,0.586
2000-08-08,0.587,0.587,0.587,0.587,0,0.587
2000-08-09,0.5791,0.5791,0.5791,0.5791,0,0.5791
2000-08-10,0.5821,0.5821,0.5821,0.5821,0,0.5821
2000-08-11,0.5795,0.5795,0.5795,0.5795,0,0.5795
2000-08-14,0.5798,0.5798,0.5798,0.5798,0,0.5798
2000-08-15,0.583,0.583,0.583,0.583,0,0.583
2000-08-16,0.5893,0.5893,0.5893,0.5893,0,0.5893
2000-08-17,0.5937,0.5937,0.5937,0.5937,0,0.5937
2000-08-18,0.5895,0.5895,0.5895,0.5895,0,0.5895
2000-08-21,0.5888,0.5888,0.5888,0.5888,0,0.5888
2000-08-22,0.5855,0.5855,0.5855,0.5855,0,0.5855
2000-08-23,0.5728,0.5728,0.5728,0.5728,0,0.5728
2000-08-24,0.573,0.573,0.573,0.573,0,0.573
2000-08-25,0.5738,0.5738,0.5738,0.5738,0,0.5738
2000-08-29,0.5725,0.5725,0.5725,0.5725,0,0.5725
2000-08-30,0.5723,0.5723,0.5723,0.5723,0,0.5723
2000-08-31,0.5774,0.5774,0.5774,0.5774,0,0.5774
2000-09-01,0.576,0.576,0.576,0.576,0,0.576
2000-09-04,0.5752,0.5752,0.5752,0.5752,0,0.5752
2000-09-05,0.5703,0.5703,0.5703,0.5703,0,0.5703
2000-09-06,0.5654,0.5654,0.5654,0.5654,0,0.5654
2000-09-07,0.558,0.558,0.558,0.558,0,0.558
2000-09-08,0.556,0.556,0.556,0.556,0,0.556
2000-09-11,0.5591,0.5591,0.5591,0.5591,0,0.5591
2000-09-12,0.5598,0.5598,0.5598,0.5598,0,0.5598
2000-09-13,0.5563,0.5563,0.5563,0.5563,0,0.5563
2000-09-14,0.5502,0.5502,0.5502,0.5502,0,0.5502
2000-09-15,0.5501,0.5501,0.5501,0.5501,0,0.5501
2000-09-18,0.544,0.544,0.544,0.544,0,0.544
2000-09-19,0.5435,0.5435,0.5435,0.5435,0,0.5435
2000-09-20,0.541,0.541,0.541,0.541,0,0.541
2000-09-21,0.5421,0.5421,0.5421,0.5421,0,0.5421
2000-09-22,0.5503,0.5503,0.5503,0.5503,0,0.5503
2000-09-25,0.5481,0.5481,0.5481,0.5481,0,0.5481
2000-09-26,0.5498,0.5498,0.5498,0.5498,0,0.5498
2000-09-27,0.5497,0.5497,0.5497,0.5497,0,0.5497
2000-09-28,0.5495,0.5495,0.5495,0.5495,0,0.5495
2000-09-29,0.5416,0.5416,0.5416,0.5416,0,0.5416
2000-10-02,0.546,0.546,0.546,0.546,0,0.546
2000-10-03,0.5399,0.5399,0.5399,0.5399,0,0.5399
2000-10-04,0.5386,0.5386,0.5386,0.5386,0,0.5386
2000-10-05,0.5359,0.5359,0.5359,0.5359,0,0.5359
2000-10-06,0.5362,0.5362,0.5362,0.5362,0,0.5362
2000-10-09,0.5344,0.5344,0.5344,0.5344,0,0.5344
2000-10-10,0.5333,0.5333,0.5333,0.5333,0,0.5333
2000-10-11,0.5378,0.5378,0.5378,0.5378,0,0.5378
2000-10-12,0.5316,0.5316,0.5316,0.5316,0,0.5316
2000-10-13,0.5322,0.5322,0.5322,0.5322,0,0.5322
2000-10-16,0.5242,0.5242,0.5242,0.5242,0,0.5242
2000-10-17,0.5198,0.5198,0.5198,0.5198,0,0.5198
2000-10-18,0.521,0.521,0.521,0.521,0,0.521
2000-10-19,0.5206,0.5206,0.5206,0.5206,0,0.5206
2000-10-20,0.528,0.528,0.528,0.528,0,0.528
2000-10-23,0.5293,0.5293,0.5293,0.5293,0,0.5293
2000-10-24,0.5267,0.5267,0.5267,0.5267,0,0.5267
2000-10-25,0.5185,0.5185,0.5185,0.5185,0,0.5185
2000-10-26,0.5168,0.5168,0.5168,0.5168,0,0.5168
2000-10-27,0.5243,0.5243,0.5243,0.5243,0,0.5243
2000-10-30,0.525,0.525,0.525,0.525,0,0.525
2000-10-31,0.5178,0.5178,0.5178,0.5178,0,0.5178
2000-11-01,0.5222,0.5222,0.5222,0.5222,0,0.5222
2000-11-02,0.5288,0.5288,0.5288,0.5288,0,0.5288
2000-11-03,0.5248,0.5248,0.5248,0.5248,0,0.5248
2000-11-06,0.5286,0.5286,0.5286,0.5286,0,0.5286
2000-11-07,0.5283,0.5283,0.5283,0.5283,0,0.5283
2000-11-08,0.5266,0.5266,0.5266,0.5266,0,0.5266
2000-11-09,0.5259,0.5259,0.5259,0.5259,0,0.5259
2000-11-10,0.5232,0.5232,0.5232,0.5232,0,0.5232
2000-11-13,0.5201,0.5201,0.5201,0.5201,0,0.5201
2000-11-14,0.5194,0.5194,0.5194,0.5194,0,0.5194
2000-11-15,0.5212,0.5212,0.5212,0.5212,0,0.5212
2000-11-16,0.5186,0.5186,0.5186,0.5186,0,0.5186
2000-11-17,0.5186,0.5186,0.5186,0.5186,0,0.5186
2000-11-20,0.5145,0.5145,0.5145,0.5145,0,0.5145
2000-11-21,0.5109,0.5109,0.5109,0.5109,0,0.5109
2000-11-22,0.5196,0.5196,0.5196,0.5196,0,0.5196
