datetime,open,high,low,close
2020-02-02 18:00:00,0.66862,0.66958,0.66831,0.66847
2020-02-02 22:00:00,0.66831,0.67049,0.66831,0.66991
2020-02-03 02:00:00,0.66991,0.67041,0.66835,0.67024
2020-02-03 06:00:00,0.67024,0.67065,0.66858,0.66973
2020-02-03 10:00:00,0.66973,0.6704,0.66895,0.66958
2020-02-03 14:00:00,0.66958,0.67068,0.66834,0.66878
2020-02-03 18:00:00,0.66878,0.66925,0.66866,0.66913
2020-02-03 22:00:00,0.66913,0.6696,0.66783,0.66914
2020-02-04 02:00:00,0.66914,0.67245,0.66829,0.67153
2020-02-04 06:00:00,0.67153,0.67316,0.67062,0.67084
2020-02-04 10:00:00,0.67084,0.67245,0.67052,0.67211
2020-02-04 14:00:00,0.67211,0.67379,0.67207,0.67351
2020-02-04 18:00:00,0.67351,0.67415,0.67323,0.67381
2020-02-04 22:00:00,0.67381,0.67434,0.67232,0.67401
2020-02-05 02:00:00,0.67401,0.67447,0.67326,0.67361
2020-02-05 06:00:00,0.67361,0.67739,0.67348,0.67709
2020-02-05 10:00:00,0.67709,0.67719,0.67531,0.67697
2020-02-05 14:00:00,0.67697,0.67712,0.67412,0.67443
2020-02-05 18:00:00,0.67443,0.67469,0.67418,0.67453
2020-02-05 22:00:00,0.67453,0.67622,0.67431,0.6753
2020-02-06 02:00:00,0.6753,0.67647,0.67473,0.67584
2020-02-06 06:00:00,0.67584,0.6761,0.67379,0.67415
2020-02-06 10:00:00,0.67415,0.67582,0.67411,0.67542
2020-02-06 14:00:00,0.67542,0.67547,0.67302,0.67375
2020-02-06 18:00:00,0.67375,0.67392,0.67267,0.67289
2020-02-06 22:00:00,0.67289,0.67363,0.6713,0.67173
2020-02-07 02:00:00,0.67173,0.67233,0.67117,0.67173
2020-02-07 06:00:00,0.67173,0.67237,0.66828,0.66829
2020-02-07 10:00:00,0.66829,0.6687,0.66717,0.66744
2020-02-07 14:00:00,0.66744,0.66891,0.66618,0.66761
2020-02-07 18:00:00,0.66761,0.66805,0.66713,0.66713
2020-02-09 18:00:00,0.66713,0.66753,0.66572,0.66732
2020-02-09 22:00:00,0.66661,0.66898,0.66646,0.66871
2020-02-10 02:00:00,0.66871,0.67057,0.66869,0.67024
2020-02-10 06:00:00,0.67024,0.6707,0.66876,0.66934
2020-02-10 10:00:00,0.66934,0.66997,0.66824,0.66828
2020-02-10 14:00:00,0.66828,0.6693,0.66717,0.66729
2020-02-10 18:00:00,0.66729,0.66864,0.66725,0.66859
2020-02-10 22:00:00,0.66859,0.67069,0.66803,0.66995
2020-02-11 02:00:00,0.66995,0.67147,0.66962,0.67146
2020-02-11 06:00:00,0.67146,0.67188,0.67043,0.67063
2020-02-11 10:00:00,0.67063,0.67113,0.66989,0.67105
2020-02-11 14:00:00,0.67105,0.67363,0.67086,0.67116
2020-02-11 18:00:00,0.67116,0.67153,0.67077,0.67138
2020-02-11 22:00:00,0.67138,0.67332,0.67113,0.67301
2020-02-12 02:00:00,0.67301,0.67372,0.67265,0.67271
2020-02-12 06:00:00,0.67271,0.67485,0.67231,0.67389
2020-02-12 10:00:00,0.67389,0.67482,0.67383,0.67399
2020-02-12 14:00:00,0.67399,0.67497,0.67331,0.6739
2020-02-12 18:00:00,0.6739,0.67417,0.67331,0.67367
2020-02-12 22:00:00,0.67367,0.67391,0.67066,0.67262
2020-02-13 02:00:00,0.67262,0.67285,0.67135,0.6719
2020-02-13 06:00:00,0.6719,0.67371,0.67113,0.67262
2020-02-13 10:00:00,0.67262,0.67357,0.6721,0.67337
2020-02-13 14:00:00,0.67337,0.67453,0.67227,0.67228
2020-02-13 18:00:00,0.67228,0.67255,0.67166,0.67188
2020-02-13 22:00:00,0.67188,0.67259,0.67093,0.67228
2020-02-14 02:00:00,0.67228,0.67312,0.67161,0.67194
