datetime,open,high,low,close
2015-05-05T13:00:00.000000000Z,0.79076,0.79536,0.78901,0.79462
2015-05-05T17:00:00.000000000Z,0.79466,0.79560,0.79329,0.79430
2015-05-05T21:00:00.000000000Z,0.79421,0.79456,0.79190,0.79372
2015-05-06T01:00:00.000000000Z,0.79378,0.79748,0.79245,0.79694
2015-05-06T05:00:00.000000000Z,0.79698,0.79868,0.79530,0.79786
2015-05-06T09:00:00.000000000Z,0.79790,0.80198,0.79664,0.80114
2015-05-06T13:00:00.000000000Z,0.80119,0.80306,0.79722,0.79736
2015-05-06T17:00:00.000000000Z,0.79733,0.79814,0.79636,0.79674
2015-05-06T21:00:00.000000000Z,0.79748,0.79778,0.79502,0.79628
2015-05-07T01:00:00.000000000Z,0.79625,0.80050,0.79236,0.79793
2015-05-07T05:00:00.000000000Z,0.79788,0.79924,0.79338,0.79464
2015-05-07T09:00:00.000000000Z,0.79460,0.79724,0.79362,0.79580
2015-05-07T13:00:00.000000000Z,0.79576,0.79648,0.79059,0.79060
2015-05-07T17:00:00.000000000Z,0.79056,0.79080,0.78907,0.79068
2015-05-07T21:00:00.000000000Z,0.79082,0.79206,0.78880,0.78971
2015-05-08T01:00:00.000000000Z,0.78970,0.79282,0.78633,0.79120
2015-05-08T05:00:00.000000000Z,0.79124,0.79268,0.78924,0.79101
2015-05-08T09:00:00.000000000Z,0.79098,0.79484,0.78759,0.79389
2015-05-08T13:00:00.000000000Z,0.79392,0.79680,0.78850,0.79200
2015-05-08T17:00:00.000000000Z,0.79194,0.79350,0.79124,0.79333
2015-05-10T21:00:00.000000000Z,0.79293,0.79336,0.79104,0.79147
2015-05-11T01:00:00.000000000Z,0.79146,0.79149,0.78765,0.78917
2015-05-11T05:00:00.000000000Z,0.78920,0.79126,0.78825,0.79026
2015-05-11T09:00:00.000000000Z,0.79022,0.79104,0.78883,0.79076
2015-05-11T13:00:00.000000000Z,0.79081,0.79224,0.78900,0.79006
2015-05-11T17:00:00.000000000Z,0.79003,0.79172,0.78902,0.78904
2015-05-11T21:00:00.000000000Z,0.78898,0.79032,0.78864,0.78911
2015-05-12T01:00:00.000000000Z,0.78908,0.79312,0.78881,0.79268
